tag_id,tag_name,tag_description
328,Modern Day Setting in a Fictional World,This game is set in an imaginary world whose timeframe resembles our modern world.
329,Future Setting in a Fictional World,This game is set in an imaginary world whose timeframe resembles a futuristic version of our world.
331,Catgirl Heroine,One or more of the heroines is a cat-girl.
332,Fighting Princess Heroine,"At least one of the heroines is a western-style princess, but unlike the vanilla version this one leads her battles from the frontlines.\nUsually wears plate armor or chainmail wields a sword. Strong sense of justice common, but not strictly necessary."
333,Summoning,One or more of the game's characters have the ability to magically (or with a sci-fi explanation) summon people or creatures to fight for them or do their bidding.\n\nNon-serious example includes Pokemon.\nSerious examples include the Childs of Mai-HiME and the Shinjuu of Seinarukana.
334,Combat Capable Friends,"In this game friends of the protagonist are capable of handling themselves in fight.\n\nFor example we can say that the best friend of the protagonist fights as well - usually to protect the protagonist's back, but he might also turn into his Nemesis."
335,Interdimensional Organization,"An Interdimensional Organization, devoted to the protection of certain ideals and/or orders, plays an important role in the game"
336,Love Triangle,"There is a Love Triangle in the game, usually involving the protagonist.\n\nIf the game focuses on drama or comedy aspect of the love triangle, please use the appropriate child tag, but if the game has a mix of both, then please use this tag."
337,Dramatic Love Triangle,"There is a love triangle in the game, and it is a source of conflict and pain for the characters."
338,Comedic Love Triangle,"There is a love triangle in the game, but this is played for laughs - it does not lead to suffering on part of the characters and heartbroken dramatic situations."
339,SRPG,"These games have RPG gameplay mixed with strategy - usually these have less character customization options than other RPG's, and focus more on combat tactics."
340,Interdimensional Odyssey,"For a large part of the story, the protagonist (and his associates) travel from one dimension to another - whether they are trying to find a way home, or have some loftier ideal."
341,Evil Route,"This game has an extra evil route that is mostly about rape, murder and all kinds of things that most people would not want to see.\n\nGood thing is, its all concentrated in a route so you can totally avoid it.\n\nUse this trait for games that are mostly about pure romances and such with one or more routes that are different than the rest and are filled with darker contents."
342,Twin Sister Support Character,This game features a [url=http://en.wikipedia.org/wiki/Twins]twin[/url] sister as a support cast member.
343,Heroine Twin Sisters,This game has heroines that are [url=http://en.wikipedia.org/wiki/Twins]twins[/url]. This tag can be used even if only one of those twins has a route.
344,Ghost,"A [url=http://en.wikipedia.org/wiki/Ghost]ghost[/url] is the soul or spirit of a dead person or animal that can appear, in visible form or other manifestation, to the living."
345,Extraterrestrial,This visual novel features [url=http://en.wikipedia.org/wiki/Extraterrestrial_life]extraterrestial life[/url].
346,Crippled Heroine,A heroine that has trouble with or is unable to walk.
347,Rhythm Game,This game includes gameplay where button presses or mouse clicks are to be matched to music.\n\nCheck related [url=http://en.wikipedia.org/wiki/Rhythm_game]Wikipedia[/url] article for details.
349,Time Loop,"The story involves a time loop, a period of time (a day, a week, etc) that repeats itself over and over."
350,Interactive Adventure Game,"Games where you interact with the world, either through text input , point-and-click or ""look/examine/talk to""-style interfaces.\n\nInteraction via the usual selection of dialog options does not fall under this tags field."
351,Nonsense,"Games where the story often doesn't even pretend to make sense. Not to be confused with a merely convoluted or confused plot, this refers to cases where the very idea of plot is completely discarded.\n\nCheck the Wikipedia entry for [url=http://en.wikipedia.org/wiki/Literary_nonsense]Literary nonsense[/url] for details."
352,Existential Crisis,The protagonist is forced to deal with major uncertainties about the nature of reality or the accuracy of his perceptions.
353,Youkai,"This game features [url=http://en.wikipedia.org/wiki/Y%C5%8Dkai]Youkai[/url].\n\nYoukai range eclectically from the malevolent to the mischievous, or occasionally bring good fortune to those who encounter them. Often they possess animal features (such as the Kappa, which is similar to a turtle, or the Tengu which has wings), other times they can appear mostly human, some look like inanimate objects and others have no discernible shape. Youkai usually have a spiritual supernatural power, with shapeshifting being one of the most common. Youkai that have the ability to shapeshift are called obake."
354,Villainous Protagonist,"Protagonist of this game is [url=http://en.wikipedia.org/wiki/Villainous]villainous[/url], or simply is an ""evil"" character of the story.\n\nStarting bad or going bad later, then becoming good again etc. doesn't matter as long as the villainous part takes an important role in the story."
355,Brief NVL Scenes,This game is actually an ADV but sometimes its narration switches to the NVL side. These scenes are often enough to take a notice but still they don't make one third of the game.
356,Parody,"This game is a parody of something. A popular game, a book, a tv show...can be anything."
357,Group Sex of One Male and Several Females,This game includes group sex scenes including the named combination.
358,Group Sex of One Female and Several Males,This game includes group sex scenes including the named combination.
359,Sex Change,"The protagonist or one of the other characters in this story changes sex by magical or [url=http://en.wikipedia.org/wiki/Sex_reassignment_surgery]medical surgery[/url] means, or due to being involved in a weird science accident."
363,Odyssey,"For a large part of the story, the protagonist (and his associates) travel from one place to another - whether they are trying to find a way home, or have some loftier ideal."
364,Espionage,The story of the game features [url=http://en.wikipedia.org/wiki/Espionage]espionage[/url]. Espionage involves a government or individual obtaining information considered secret or confidential without the permission of the holder of the information.
367,Crippled Protagonist,"Use it when the hero of the game had lost a limb or two, or similar."
368,Musical Themes,The story of this game revolves around [url=http://en.wikipedia.org/wiki/Music]music[/url].
369,Disabled Protagonist,"The protagonist has one or more disabilities - he might be blind, deaf, mute or missing an extremity."
370,Protagonist with Health Issues,For tags that can be used for a protagonist that's not in best of his health.\n\nYou can also use this tag itself if you believe this protagonist is not covered by any of it's sub-tags.
372,Mahjong as Gameplay Element,"[url=https://en.wikipedia.org/wiki/Mahjong]Mahjong[/url] is a game for four players that originated in China. In the game, each player is dealt either thirteen or sixteen tiles in a hand (depending on the variation being played). On their turn, players draw a tile and discard one, with the goal of making four or five melds (also depending on the variation) and one pair, or ""head"". Winning comes ""on the draw"", by drawing a new or discarded tile that completes the hand. Thus a winning hand actually contains fourteen (or seventeen) tiles.\n\nOnly use this if there is an actual mahjong minigame in the VN. If it is only used as a plot-element, please use [url=http://vndb.org/g1290]Mahjong as Story Element[/url]."
373,Student Heroine,One or more of this games heroines is a [url=http://en.wikipedia.org/wiki/Student]student[/url].
374,Heroine with Health Issues,For tags that can be used for a heroine that's not in best of her health.\n\nYou can also use this tag itself if you believe this heroine is not covered by any of it's sub-tags.
377,Mecha,This game has robots and/or robotic suits that are directly operated by human pilots.
380,Early Sexual Content,The sexual content in this game appears at the very beginning of the game (or at least on the first couple of hours of a thirty hour game for example).
383,Elf Heroine,"One of the heroines is an [url=http://en.wikipedia.org/wiki/Elves_in_fantasy_fiction_and_games]elf[/url].\n\nIn many works of modern fantasy, elves are depicted as a race of semi-divine humanoid beings who are friendly with nature and animals.\n\nA hallmark of fantasy elves is also their long and pointed ears. The length and shape of these ears varies depending on the artist or medium in question. Elves tend to be immortal or longeval in comparison to humans, more beautiful and wiser, with sharper senses and perceptions, and abilities or crafts that seem alien or magical.\n\nThis tag does not refer to the tiny, little sprite kind of elf."
386,Unarmed Fighting Heroine,One or more of the heroine fights unarmed and is capable of killing people with her bare hands.\n\nRefer to the related [url=http://en.wikipedia.org/wiki/Hand-to-hand_combat]Wikipedia[/url] article for details.
387,Prostitution,These games have drama involving [url=http://en.wikipedia.org/wiki/Prostitution]prostitution[/url].
388,Trap Heroine,At least one of the heroines of this visual novel is a boy whose physical features make him look like a girl to the point that he could be mistaken for one.\n[url=http://en.wikipedia.org/wiki/Cross_dressing]Cross-dressing[/url] is not required while often being the source of the confusion.
389,School Dormitory,"Some part of the game takes place in a [url=http://en.wikipedia.org/wiki/Dormitory]dormitory[/url].\n\nA dormitory, often shortened to dorm, in the United States is a residence hall consisting of sleeping quarters or entire buildings primarily providing sleeping and residential quarters for large numbers of people, often boarding school, college or university students. In the UK, the word has an earlier, different but related meaning: it refers specifically to an individual room in which many people sleep, typically at a boarding school. The UK equivalent of the American word as applied to university buildings is hall of residence, often shortened to halls."
390,Mute Protagonist,"The protagonist doesn't say a word in the entire game. It may be based on a form of [url=http://en.wikipedia.org/wiki/Muteness]muteness[/url] or a gameplay mechanism.\n\nFor example, most JRPG characters never say a word for the entire game but the story characters act like he did, and have one sided conversations with him. Possibly assuming that you, the player, talk with your TV/monitor or something..."
391,Blood-related Father/Daughter Incest,These games contain sexual scenes between a blood-related father and daughter.
392,Sex Involving Prostitution,"These games have sex scenes that involve prostitution, that is, one of the participants take place in the activity for monetary or similar gains.\n\n[url=https://en.wikipedia.org/wiki/Prostitution]Prostitution[/url] is the business or practice of engaging in sexual relations in exchange for payment or some other benefit. Prostitution is sometimes described as commercial sex. \n\nA common form of prostitution in Japan is called [url=https://en.wikipedia.org/wiki/JK_business]JK business[/url] (Enjo-kousai) that means ""compensated dating"" and is a practice where older men give money and/or luxury gifts to attractive women for their companionship and possibly, for sexual favors."
393,Trap Support Character,At least one of the support characters of this visual novel is a boy whose physical features make him look like a girl to the point that he could be mistaken for one.\n[url=http://en.wikipedia.org/wiki/Cross_dressing]Cross-dressing[/url] is not required while often being the source of the confusion.
394,Pregnancy,Stories involving pregnancy.
395,Blind Protagonist,"The protagonist (or alternatively, POV character) is afflicted by optical, neural, or neurological sightlessness."
396,Pregnant Sex,This visual novel involves sex with [url=http://en.wikipedia.org/wiki/Pregnancy]pregnant[/url] women.
397,Vertically Oriented Text,The text in this game is displayed vertically instead of horizontally.
398,Floating Textbox,"The textbox is not in a fixed position, but may appear in different places and sizes on the screen.\n\n[ex: Quartett, Gekkou no Carnevale]"
400,Non-human Protagonist,"The protagonist might look human, other characters might think the protagonist is human, but the protagonist isn't actually human."
401,Protagonist with Glasses,The protagonist wears glasses.
406,Rapist Protagonist,"Just a criminal who threatens and rapes woman.\n\nDon't use this tag for every game that gives you the option to commit rape once or twice, probably leading to bad ends,  but for games that makes it into a habit."
407,Sex Under the Necessity,"Characters have a binding, mandatory reason to have sex. Often bizarre, like ""this serious illness can only be cured by protagonist's special sperm"" or ""the only way for her to become stronger is to have sex""."
409,Twins as Support Characters,This game has at least one set of [url=http://en.wikipedia.org/wiki/Twins]twins[/url] as supporting characters.
411,Chikan Protagonist,The protagonist is a [url=http://en.wikipedia.org/wiki/Frotteurism]frotteur[/url].
413,Futanari Heroine,"One or more of the game's heroines has  male as well as female genitalia. Generally, though not necessarily, paired with otherwise female characteristics.\n\nCheck the related [url=http://en.wikipedia.org/wiki/Hermaphrodite]Wikipedia[/url] page for details."
414,Cousin Incest,These games contain sexual scenes between two (or more) cousins. They may or may not be blood-related.
415,Cousin Romance,These games contain romance between cousins.
416,Protagonist's Cousin as a Heroine,"One or more of the heroines is a [url=http://en.wikipedia.org/wiki/Cousin]cousin[/url] of the protagonist.\n\nA cousin is a relative with whom a person shares one or more common ancestors (other than a parent, child/descendant, sibling, child/descendant of a sibling, or sibling of a parent/ancestor). However in common parlance, ""cousin"" normally specifically means ""first cousin""."
417,Realtime 3D,"Most of the graphics in the game are 3D models, rendered in realtime."
418,Homecoming,"This game features some characters return to a their home town, usually the protagonist. It may just be about that person's experiences or it may be about big events related to it, like the [url=http://en.wikipedia.org/wiki/Homecoming]homecoming[/url] celebrations."
420,Under the Same Roof,"The protagonist lives in the same home as one of the heroines/heroes for an extended period. They may not necessarily share the sleeping quarters, but they must at least have common dining rooms, kitchens, sanitary facilities, etc."
421,Trap Protagonist,The protagonist of this visual novel is a boy whose physical features make him look like a girl to the point that he could be mistaken for one.\n[url=http://en.wikipedia.org/wiki/Cross_dressing]Cross-dressing[/url] is not required while often being the source of the confusion.
422,Messiah Protagonist,"The protagonist is heralded as the ""Chosen One"", with prophecies, omens et al."
423,All-girls School,This game is set on a school that only admits girls as students.
424,Island,A significant part of this visual novel is set on a small(ish) [url=http://en.wikipedia.org/wiki/Island]island[/url].
425,Bodyguard Protagonist,The protagonist of this game is a [url=http://en.wikipedia.org/wiki/Bodyguard]bodyguard[/url].
427,Photographic Sprites,"The characters are not represented by drawings or CG, but by photographs of actors."
428,Musical Environment,"The game largely takes place in a musical environment - for example, a band, an orchestra, a music school, or similar."
431,Coming-of-Age Drama,The story has parts narrating the transition of the characters from adolescence to adulthood.
432,Reincarnation,"One or more of the game's characters, human or not, are [url=http://en.wikipedia.org/wiki/Reincarnation]reincarnations[/url] of dead people (or animals or gods)."
433,Photographic Backgrounds,"The backgrounds in the game were originally photographs. Likely filtered to some degree, but still clearly recognizable as such."
434,Harem Ending,This game has a [url=http://en.wikipedia.org/wiki/Harem]harem[/url] ending.\n\nThis means you can reach to an ending in which the protagonist is being loved by multiple heroines at the same time. And somehow manages to keep them all without choosing one over.\n\nThis situation can result in both erotic (leading to group sex scenes) and comedy (stuff that you see in all those harem anime) endings.
437,Platform Game,"Games with this tag has some amounts of jumping to and from suspended platforms. They may be dungeon floors in a 2D platformer, or climbing a mountain in a 3D one."
438,Deities,"A game with this tag has some supernatural divinities, gods, or goddess' on its cast. They may be originating from one of the popular mythologies or may be based on games original story. Or may be they are from one of the accepted religions around the world, if the game is brave enough."
439,Immortal Protagonist,"The protagonist is immortal, doesn't age or can't be killed through normal means."
440,Deity Protagonist,The protagonist of this visual novel is a [url=http://en.wikipedia.org/wiki/Deity]god[/url].
441,Co-worker Heroine,"One of the heroines works at the same place as the protagonist, whether occasionally or permanently."
442,Virtual Reality,"This visual novel features a separate, well distinguishable virtual world, which is reachable through 'technological' means."
443,Obsession,One of the characters have an obsession that plays an important part in this story. It may be a revenge the protagonist is obsessing about or it may be a heroine obsessing about uncovering a certain truth.\n\nDon't use this tag on the games where a heroine is insisting on eating something... but on games when it is a factor of psychological drama.
444,Revenge,A character in this game is hell bent on a revenge. He or she will do anything for it...
445,Terrorism,This visual novel includes acts of [url=http://en.wikipedia.org/wiki/Terrorism]terrorism[/url] in its plot.
446,Hacker Protagonist,The protagonist of this visual novel is a [url=http://en.wikipedia.org/wiki/Hacker_%28term%29]hacker[/url].
447,Customization,"This game allows you to customize your characters, vehicles and similar. Any detailed customizations beyond the basic picking up (and equipping) items an equipment detail of the usual RPG's can be considered a customization."
448,New Game Plus,This game allows you to use previous playthrough's saves on future play sessions. Allowing further character building and access to higher level content etc on each replay.\n\nCheck related [url=http://en.wikipedia.org/wiki/New_Game_Plus]Wikipedia[/url] article for details.
450,Optional Gameplay,Mini-games and battle sequences in this game are optional. They can be turned off and/or skipped easily without playing them even once. Well except for an introduction or a brief tutorial of course.
451,Skippable Gameplay,"Mini-games and battle sequences in this game can be skipped after beating them once. There may be cases where a game requires them to be beaten more then once, but the tag still applies."
452,Skip Scenes,"This game offers the option to skip one or more scenes, usually on subsequent play-throughs after you read it once. \n\nThis is an alternative to the usual fast-forwarding through the lines you read before, that most games use. Since this allows you to skip large amounts of text and images completely without forcing you to fast-forward through them."
453,Slice of Life Drama,This tag is for slice of life stories of dramatic nature.
454,Slice of Life,"A [url=http://en.wikipedia.org/wiki/Slice_of_life]slice of life[/url] story is a category for a story that portrays a ""cut-out"" sequence of events in a character's life.\n\nIt usually tries to depict the every-day life of ordinary people, sometimes with fantasy or science fiction elements involved.\n\nSlice of life stories may either be dramatic or otherwise presented in a very serious nature, or may be used to help frame a comedic setting."
455,Slice of Life Realism,This tag is for slice of life stories presented in a very serious nature.
456,War,The story includes large-scale armed conflict.
457,Apocalypse,The story involves the end of the world as we know it.
459,Unlockable Routes,This tag is for games with new unlockable routes. \n\nThey can be made available by getting to certain points in a game or by finishing it a set amounts of times.
460,Alternate Starting Point,This game allows users to start from alternative starting points after finishing a route. Usually at the turning point of the game where a user picks which route to continue.\n\nThis tag is not for games with new unlockable routes. Use [url=http://vndb.org/g459]Unlockable Routes[/url] for those.
461,Heroine with Zettai Ryouiki,"This game features one or more heroines with [url=http://tvtropes.org/pmwiki/pmwiki.php/Main/ZettaiRyouiki]zettai ryouiki[/url].\n\n""Zettai Ryouiki"" consists of socks reaching over the knees, a short skirt, and an exposed thigh area between the socks and the skirt. Zettai ryouiki can refer to just the exposed thigh area, or to the combination of high socks, short skirt and exposed thigh. It can be a sexual fetish. Note that proper zettai ryouiki requires the socks to reach above the knee.\n\nExamples include [url=/c34]Rin[/url] from Fate/stay night, [url=/c2928]Nayuki[/url] from Kanon, [url=/c3793]Miyu[/url] from Kimi ga Aruji and every girl from [url=/v1799]Zettai Ryouiki![/url]."
462,Heroine with Eyepatch,"One or more heroines of this game has an [url=http://en.wikipedia.org/wiki/Eyepatch]eyepatch[/url]. She doesn't necessarily have to be blind in that eye, only requirement is that the character wears it enough to be associated with it.\n\nAn eyepatch is a small patch that is worn in front of one eye. It may be a cloth patch attached around the head by an elastic band or by a string, or an adhesive bandage. It is often worn by people to cover a lost or injured eye, but it also has a therapeutic use in children for the treatment of amblyopia."
464,Heroine with Sexual Experience,Most of the VN's and and Eroge are pure love stories. With the protagonist being the first love of the games heroines and the first man that they have ever been with.\n\nBut in some cases story takes a more realistic approach and display heroines that had previous sexual experiences before the games story begins or ones that still keep an active sexual life. This tag is for that type of heroines that are not virgins when they sleep with the protagonist.\n\nThis tag is only for character classification purposes and it is not meant to discriminate anyone's lifestyle or choices.
465,Adult Heroine,One or more of the heroines in this game are [url=http://en.wikipedia.org/wiki/Adult]adults[/url].
468,Tournament,This game has a [url=http://en.wikipedia.org/wiki/Tournament]tournament[/url] that is an important part of the story.
469,Butler Support Character,One of the visual novel's support characters is a [url=http://en.wikipedia.org/wiki/Butler]butler[/url].
470,Modern Day Tokyo,"The game is set in, or at least has considerable time of its story taking place in modern day [url=http://en.wikipedia.org/wiki/Tokyo]Tokyo[/url].\nNote: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
471,Modern Day Shibuya,"The game is set in, or at least has considerable time of its story taking place in modern day [url=http://en.wikipedia.org/wiki/Shibuya,_Tokyo]Shibuya[/url].\nNote: ""Modern day"" refers to an unspecified time period between the late 20th century and today."
473,Nekomimi Heroine,"For games featuring heroines with catlike ears or anything that would remind it as their signature part or appearance, such as a hairband with cat ears or her hair being shaped exactly like one.\n\nPlease do not mix with catgirl tag; almost every catgirl has nekomimi, but not every nekomimi is a catgirl... And catgirl is a child tag of Non-human Heroine, so it's not suitable for human girls with nekomimi."
474,Kemonomimi Heroine,This game has one or more [url=http://en.wikipedia.org/wiki/Kemonomimi#Animals]kemonomimi[/url] characters that are appearing in a heroine role.\n\nKemonomimi characters typically appear human except for added animal-like qualities (such as ears or tails).
475,Teacher Protagonist,The protagonist of this game is a [url=http://en.wikipedia.org/wiki/Teacher]teacher[/url].
476,Mage Protagonist,The protagonist of this game is is a mage.
478,Dice Game,This game features a dice game that shows the thrown dice.\n\nDo not use for games like RPG's that use hidden dice rolls.
480,Angels,There are [url=http://en.wikipedia.org/wiki/Angel]angels[/url] in this game.
481,Demons,There are [url=http://en.wikipedia.org/wiki/Demons]demons[/url] in this game.
482,Kemonomimi Support Character,This game has one or more [url=http://en.wikipedia.org/wiki/Kemonomimi#Animals]kemonomimi[/url] characters that are appearing in support roles.\n\nKemonomimi characters typically appear human except for added animal-like qualities (such as ears or tails).
483,Catgirl Support Character,Use this tag for a game that has a catgirl which is not a heroine or protag.
484,Submarine,This visual novel has many scenes set inside of a [url=http://en.wikipedia.org/wiki/Submarine]submarine[/url].
485,Heroine with Heterochromia,One or more of the heroines has eyes of different colors.\n\nCheck the related [url=http://en.wikipedia.org/wiki/Heterochromia]Wikipedia[/url] article for details.
486,Zombie Heroine,At least one of the heroines of this visual novel is a [url=http://en.wikipedia.org/wiki/Zombie_%28fictional%29]zombie[/url].
487,Living Doll Heroine,One of the heroines is a living doll. Like in Rozen Maiden.
488,Witch Heroine,One of the heroines is a witch.\n\nDo not mix with [url=http://vndb.org/g138]Mage Heroine[/url] and use it for every spell-casting-heroine. Witches are more about curses and herbal remedies then magic spells.
489,Unlockable Side Stories,"This game has an unlockable scenario/omake/side story.\n\nUsually accessible from a different menu.\n\nDo not mix this with [url=http://vndb.org/g459]Unlockable Routes[/url] which deals with actual full fledged routes, this tag is for other short stories. For example the ones in Kagetsu Tohya."
490,Lesbian Heroine,"One of the heroines is sexually attracted to other females. It is expressed by her behavior through the game, her sexual experience on the subject is irrelevant for this tag.\n\nAlong the story she may change her choice and turn bisexual or heterosexual, main idea here is her acting this way for a considerable time in the game."
491,Undead,"For games that includes all types of characters and creatures that are still walking, even after they are long dead...\n\nCheck Wikipedia [url=http://en.wikipedia.org/wiki/Undead]undead[/url] entry for details."
492,Divine Beings,"All divine entities goes here, angels, demons, gods etc.\n\nAlso includes ones that are touched by them, chosen ones etc."
493,Undead Heroine,A heroine in this game is an [url=http://en.wikipedia.org/wiki/Undead]undead[/url].
494,Divine Heroine,This game features heroines belonging to the [url=http://en.wikipedia.org/wiki/Divinity]divinity[/url].
497,Heroine with Psychological Problems,For heroines suffering from a [url=http://en.wikipedia.org/wiki/Mental_disorder]mental disorder[/url].
498,Nympho Heroine,Heroine in this game has a [url=http://en.wikipedia.org/wiki/Nympho]sexual addiction[/url].
499,Rape Victim Heroine,"A heroine of this game is a victim of a rape and the story involves the drama and psychological problems she has afterwards.\n\nDo not use for games that has rape scenes quickly followed by a game over, or games that don't consider this as an element of drama."
500,Protagonist with Psychological Problems,For protagonists suffering from a [url=http://en.wikipedia.org/wiki/Mental_disorder]mental disorder[/url].
501,Rape Victim Protagonist,"Protagonist of this game is a victim of a rape and the story involves the drama and psychological problems he has afterwards.\n\nDo not use for games that has rape scenes quickly followed by a game over, or games that don't consider this as an element of drama."
502,Psychological Trauma,Some characters in this game are suffering from a [url=http://en.wikipedia.org/wiki/Psychological_trauma]Psychological trauma[/url].
503,Nympho Protagonist,Protagonist of this game has a [url=http://en.wikipedia.org/wiki/Nympho]sexual addiction[/url].
504,Multiplayer Game,This game can be played by more than one player at the same time. Both same computer/console/handheld and online multiplayer is covered by this tag.
505,Donkan Protagonist,"This type of a protagonist is totally immune to romantic and sexual advances. He/she can't read the atmosphere at all. This protagonist may be a genius but still can't understand the feelings of anyone towards him/her until a clear confession is made. Even then he/she needs to ask for a confirmation about it and think for a while to understand what that means. The people who are in love with this protagonist can do everything to make him/her understand, from occasional kisses to even having sex under poor excuses (like transfering mana etc) but they have no chance to be understood, none at all..."
506,Gender Bending,"This game involves transgender, transvestite characters, characters who actively transgresses, or ""bends,"" expected gender roles, and/or situations about them as an important part of the story."
508,Childhood Promise,"Two characters in this game, usually the protagonist and a heroine made a promise to each other in their childhood.\n\nThis promise is a key element in this story and even though in many cases one or both sides may have forgotten about it, it will change many things when its remembered/ revealed."
509,Alien Heroine,"One of the heroines in this game is an [url=http://en.wikipedia.org/wiki/Extraterrestrial_life]extraterrestrial[/url], a life form not originated from planet Earth."
510,Doggirl Heroine,One or more of the heroines is a dog-girl.
511,High Amounts of Rape,This game has a lot of rape in it. Not just a handful but tons of it...beware...
512,Genius Support Character,One of the supporting characters is a natural genius that knows much about anything and everything.
513,Netorare,"Netorare (寝取られ) is a sexual fetish designed to cause sexual jealousy by way of having the heroine indulge in sexual activity with someone other than the protagonist.\n\nFor a game to be classified as Netorare the following conditions must be met:\n1. The heroine either must be romantically involved with the protagonist, a potential romance for him or of someone that the protagonist shares such a close relationship (sister, mother, osananajimi etc.) that jealousy is a factor.\n\n2. Related sexual events are explicitly shown to the player or later described in detail.\n\nThis does not include relationships of heroines that are outside the route you follow. Explanation: Route 1 is for Heroine A, the protagonist is romantically involved with her. During that route, if she sleeps with other characters than the protagonist, it would be NTR. But during Route 2, which is about Heroine B, where the protagonist has no romantic relationship with Heroine A, her having sex with others wouldn't count as NTR."
514,Netori,Netori are games where the protagonist steals the lover or wife/husband of someone else.\n\nDifferent from [url=http://vndb.org/g513]Netorare[/url] where the protagonist's lover gets stolen.
515,Married Heroine,At least one of the heroines of this visual novel is a [url=http://en.wikipedia.org/wiki/Wife]married woman[/url]. Her marriage may or may not be continuing during the course of the story.
516,Sex Involving Drugs,One or more of the participants in some of the sexual events in this game are under the effects of some drugs or medicines. Usually for sexuality-enhancing or inhibition-removing purposes.
517,Cafe,"Games with this tag mostly take place inside a cafe or a similar location.\n\nUse the tag only for games that spend considerable time in one, not every game that shows a cafe once."
519,Forest,A significant part of this visual novel is set in a [url=http://en.wikipedia.org/wiki/Forest]forest[/url].
520,Sexual Harassment,For games that has elements of [url=http://en.wikipedia.org/wiki/Sexual_harassment]sexual harassment[/url] in their stories.
521,Chikan,"Chikan (痴漢, チカン, or ちかん) is the Japanese term used to refer to [url=http://en.wikipedia.org/wiki/Frotteurism]frotteurism[/url], or men who commit such acts (the term for women who commit such acts is chijo, 痴女).\n\nUse this tag if the game is question has this type of harrasment as an important factor in its story and it goes beyond a simple one time attempt. Not as a passing joke or a reference."
522,Bookworm Heroine,"One or more heroines in this game is a [url=http://en.wikipedia.org/wiki/Bibliophilia]bookworm[/url].\n\nA bookworm is someone who loves books for their content, or who otherwise loves reading.\n\nThis type of heroines can be often spotted reading a book, carrying a book or talking about a book at all times. They are also known for working or hanging out in school libraries or book stores."
523,Student Club,"A [url=http://en.wikipedia.org/wiki/Student_club]student club[/url] plays an important role in this story.\n\nSchool clubs are student-based school organizations, consisting of administration-approved organizations functioning with myriads of tasks, varying on the specific purpose of each respective club."
524,Hetare Protagonist,"The opposite of [url=/g692]Proactive Protagonist[/url].\n\nThe protagonist of this game is a worthless, spineless, good for nothing individual that is not worthy of being called a man. He is no help to anyone and is most of the time unable to make any decisions in time. He is always being pushed around by every other character in the game, he is that way at the start and he is still like that in the final moments of the game.\n\nPlease don't use this tag on games that has its protag starting this way but also has him fixing his ways in the first hours of the game. Thus making it somewhat bearable by some quick reading.\n\nWhile this description says man, this tag can also be applied to worthless, spineless, good for nothing female protagonists."
525,Antihero Protagonist,"This games protagonist is an [url=http://en.wikipedia.org/wiki/Antihero]Antihero[/url].\n\nHe is generally considered to be a protagonist whose character is, at least in some regards, conspicuously contrary to that of the archetypal hero, and is in some instances its antithesis. Usually the antihero lacks heroic motivation and uses questionable methods to achieve his goal, this is done from the perspective that the ends justify the means."
526,Scrolling Shooter,"This games action sequences are set on a scrolling background, like the screen always scrolls to right, or to up. No free movement available other than trying to survive on that scrolling screen."
527,Heroine with Gothic Look,One or more heroines in this game are mostly dressed in [url=http://en.wikipedia.org/wiki/Gothic_fashion]gothic fashion[/url].
528,Fictional Futuristic Japanese Town,This game is set in a fictional Japanese town sometime in the future.
529,Rabbitgirl Heroine,"One or more heroines in this visual novel is a bunny-girl.\n\nNOTE: This tag refers to heroines whose rabbit features are permanent- for example, a rabbit kemonomimi whose rabbit features are a part of her body. For human heroines who have non-permanent rabbit-features - such as clothing or hairstyles- please use [URL=https://vndb.org/g474/]Usagimimi Heroine[/URL]."
530,Tomboy Heroine,"One or more of the heroines of this novel is a [url=http://en.wikipedia.org/wiki/Tomboy]tomboy[/url].\n\nA tomboy is a girl who exhibits characteristics or behaviors considered typical of the gender role of a boy, including wearing masculine clothing and engaging in games and activities that are physical in nature, and which are considered in many cultures to be the domain of boys. Tomboy girls also tend to be rude and rough and have or show bad manners."
531,Sex Involving Hypnosis,This game features characters that use [url=http://en.wikipedia.org/wiki/Hypnotism]hypnosis[/url] to achieve sexual relationships with others and other situations that somehow manage to combine hypnotism with sex...
532,Blood-related Mother/Son Incest,These games contain sexual scenes between a blood-related mother and son.
533,Big Breast Sizes Heroine,"One or more heroines of this VN have big, huge or gigantic breasts."
534,Pure Love Story,"Most of the VNs have some sort of romance, but there are some that are about true love overcoming all difficulties. Of a pair of destined lovers overcoming every difficulty...\n\nExamples include:\n*Stories about lovers that stay true to each other no matter what (lying once or twice allowed sleeping with others not),\n*Stories about lovers that sacrifice everything for their love,\n*Stories where love saves the characters from certain doom (like giving up on an endless chain of revenge for love),\netc"
536,Maou Protagonist,"The protagonist is a Maou, a demon king (or king of devils etc).\n\nHe might've just escaped from being sealed for centuries and aiming to regain his former power (and enslave those who thwarted him the last time), just finally decided on taking over the world... or he might be a Maou who loves small animals and nature in general, hates mankind because they pollute it, and who ends up living together with a group of humans to see if they're really that bad.\n\nDo note that this tag is only intended for actual demon kings,  and not for characters bearing Maou as a title or a nick. The character needs to have fantastic, [url=http://en.wikipedia.org/wiki/Demonic]demonic[/url] properties."
537,Festival,A [url=http://en.wikipedia.org/wiki/Festival]festival[/url] holds a great deal of importance in this games story.
