trait_id,trait_name,trait_alias,description
520,Teasing,,"This character becomes target of [url=http://en.wikipedia.org/wiki/Teasing]teasing[/url].\n\nTeasing comes in two major forms, playful and hurtful. When teasing is playful and friendly, and especially when it is reciprocal, teasing can be regarded as flirting.\n\nPeople may be teased on such matters as their appearance, weight, behavior, abilities, and clothing. From the victim's point-of-view, this kind of teasing is often hurtful, irrespective of the intention of the teaser.\n\nWhen teasing is unwelcome, it may be regarded as harassment or mobbing, especially in the work place, or as a form of bullying or emotional abuse. If done in public, it may be regarded as humiliation."
521,Court Shoes,Pumps\nOpera Slippers\nPatent Pumps,"This character wears [url=http://en.wikipedia.org/wiki/Court_shoe]court shoes[/url].\n\nCourt shoes are shoes with a low-cut front and usually without a fastening. However, some have ankle straps. They are usually worn by women, but are still traditional menswear in some formal situations, when they are sometimes called opera slippers or patent pumps."
522,Bag,,This character is seen with a [url=http://en.wikipedia.org/wiki/Bag]bag[/url].\n\nA bag is a non-rigid container.
523,Backpack,Rucksack\nKnapsack\nPacksack,"This character is seen with a [url=http://en.wikipedia.org/wiki/Backpack]backpack[/url].\n\nA backpack is, in its simplest form, a cloth sack carried on one's back and secured with two straps that go over the shoulders, but there can be exceptions. Lightweight types of backpacks are sometimes worn on only one shoulder strap."
524,Habit,Religious Habit,This character wears a [url=http://en.wikipedia.org/wiki/Religious_habit]religious habit[/url].\n\nA religious habit is a distinctive set of garments worn by members of a religious order.
525,Clumsy,Dojikko,"This character is [url=http://dictionary.reference.com/browse/clumsy]clumsy[/url] or known to be [url=http://en.wikipedia.org/wiki/Accident-proneness]prone to accidents[/url].\n\nA clumsy person is someone lacking in skill or physical coordination, who tends to be prone to more accidents then others.\n\nAccident-proneness, also known as clumsiness, is the conception that some people might have predisposition, or that they might be more likely to suffer accidents, such as car crashes and industrial injuries, than other people. It may be used as a reason to deny any insurance on such individuals."
526,Head of Household,,"This character is the [url=http://dictionary.reference.com/browse/Head+of+Household]head of a household[/url].\n\nHead of Household refers to indivduals that are the leading member of a large household or family or tribe.\n\nThis trait is not connected to the tax term with the same name and should only be used for the leaders of big families, not all fathers, mothers etc."
527,Cat,Felis Catus,"This character is a [url=http://en.wikipedia.org/wiki/Cat]cat[/url] or has cat-like physical features. This encompasses all forms of domesticated cats, including the common house cat breeds, as well as humanoid characters who possess cat-like traits."
528,Sitting Sex,,"This character has sex in a [url=http://en.wikipedia.org/wiki/Sexual_positions#Sitting_and_kneeling]sitting[/url] position. Apply this trait to the penetrated partner and apply [url=/i1691]i1691[/url] to the penetrating partner.\n\nIn this position, the penetrating partner sits with their torso mostly upright, while the receiving partner sits or squats over their lap, possibly leaning on the penetrating partner for support. They may face towards or away from the penetrating partner.\n\n[url=https://s.vndb.org/sf/37/22737.jpg]Example 1[/url], [url=https://s.vndb.org/sf/36/84136.jpg]Example 2[/url] - Receiving partner facing away\n[url=https://s.vndb.org/sf/37/84137.jpg]Example 3[/url] - Participants facing each other. Similar to [url=/i95]cowgirl[/url] position except penetrating partner is sitting mostly upright instead of lying down."
529,Alchemist,,"This character is an [url=http://en.wikipedia.org/wiki/Alchemist]alchemist[/url].\n\nAlchemy refers to a quest for a fabled elixir or kimia (Old Persian for ""elixir"", later arabicized as alchemy) capable of turning copper and other base metals to gold and also a quest for something to prevent human beings' bodies from becoming old.\n\nAlchemy is both a philosophy and an ancient practice that seeks to prepare the ""elixir of longevity"" or philosophers' stone, accomplish the transmutation into gold, and attain ultimate wisdom. It supposedly involves the manufacture of several substances with unusual properties, as well as improvement of the alchemist. Some alchemical sources treat the various substances, equipment and processes in an allegorical sense, as metaphors for a spiritual discipline.\n\nPractical alchemy, on the other hand, can be viewed as a protoscience, the precursor to modern inorganic chemistry, having provided many procedures, equipment and names of substances that are still in use."
530,Sorcerer / Sorceress,,"This character is a type of magician that delves into the context of [url=http://dictionary.reference.com/browse/sorcery]sorcery[/url].\n\nSorcery is the art, practices, or spells of a person who is supposed to exercise supernatural powers through the aid of evil spirits and black magic."
531,Psychic,Esper,"This character is a [url=http://en.wikipedia.org/wiki/Psychic]psychic[/url].\n\nA psychic is a person who professes an ability to perceive information hidden from the normal senses through extrasensory perception (ESP), or is said by others to have such abilities."
532,Precog,Future Sight\nPremonition\nPresentiment\nClairvoyance,"This character has some form of [url=http://en.wikipedia.org/wiki/Precognition]precognitive[/url] powers that he/she uses in the story.\n\nPrecognition refers to perception that involves the acquisition or effect of future information that cannot be deduced from presently available and normally acquired sense-based information or laws of physics and/or nature. The related terms, premonition and presentiment refer to information about future events that is perceived as emotions.\n\nThe terms are usually used to denote a seemingly parapsychological or extrasensory process of perception, including clairvoyance."
533,Boxing,Pugilism,"This character [url=http://en.wikipedia.org/wiki/Boxing]boxes[/url].\n\nBoxing is a combat sport in which two people fight each other using their fists for competition.\n\nBoxing is typically supervised by a referee engaged in during a series of one- to three-minute intervals called rounds, and boxers generally of similar weight. There are four ways to win; if the opponent is knocked out and unable to get up before the referee counts to ten seconds (a knockout, or KO) or if the opponent is deemed too injured to continue (a Technical Knockout, or TKO), if an opponent is disqualified for breaking a rule, or if there is no stoppage of the fight before an agreed number of rounds, a winner is determined either by the referee's decision or by judges' scorecards."
534,Rude,Impudent\nInsolent\nCheeky\nImpolite\nCrude\nEffronter,"This character is generally [url=http://en.wikipedia.org/wiki/Rude]rude[/url].\n\nRudeness is a display of disrespectfulness by not complying with the social ""laws"" or etiquette of a group or culture.\n\nThese laws have been established as the essential boundaries of normally accepted behavior. To be unable or unwilling to align one's behavior with these laws known to the general population of what is socially acceptable is to be rude."
535,Cadet,,"This character is a [url=http://en.wikipedia.org/wiki/Cadet]cadet[/url].\n\nA cadet is a trainee to become an officer in the military, often a person who is a junior trainee, a student in a national service academy or private military school or on a training ship.\n\nThis trait is intended to be used for the military context only, not for young nobles."
536,Gamer,,"This character is a [url=http://en.wikipedia.org/wiki/Gamer]gamer[/url].\n\nGamer refers to someone who frequently plays table-top games (boardgames and role playing games), wargames or video games.\n\nWhile the term nominally includes those who do not necessarily consider themselves to be gamers (i.e., casual gamers), it is commonly used to identify those who spend much of their leisure time playing or learning about games."
537,Lacrosse,,"This character plays [url=http://en.wikipedia.org/wiki/Lacrosse]lacrosse[/url].\n\nLacrosse is a team sport of Native American origin played using a small solid rubber ball and a long-handled stick called a crosse or lacrosse stick, mainly played on the East Coast of the United States and Canada.\n\nThe head of the lacrosse stick is strung with loose mesh designed to catch and hold the lacrosse ball. Offensively, the objective of the game is to score by shooting the ball into an opponent's goal, using the lacrosse stick to catch, carry, and pass the ball to do so. Defensively, the objective is to keep the opposing team from scoring and to dispossess them of the ball through the use of stick checking and body contact or positioning."
538,Coach,Trainer,"This character acts as a [url=http://en.wikipedia.org/wiki/Coach_%28sport%29]coach[/url].\n\nIn sports, a coach is an individual involved in the direction, instruction and training of the operations of a sports team or of individual sportspeople.\n\nA coach can also be a person who instructs an actor or singer or any other type of a trainer."
539,Military Uniform,,"This character wears a [url=http://en.wikipedia.org/wiki/Military_uniform]military uniform[/url].\n\nMilitary uniforms comprises standardized dress worn by members of the armed forces and paramilitaries of various nations.\n\nMilitary dress and military styles have gone through great changes over the centuries from colourful and elaborate to extremely utilitarian. Military uniforms in the form of standardized and distinctive dress, intended for identification and display, are typically a sign of organized military forces equipped by a central authority."
540,Mecha Pilot,Mech Piloting,"This character pilots [url=http://en.wikipedia.org/wiki/Mecha]mecha[/url].\n\nMechs (plural), or mech (singular) is a broad genre of vehicles (normally walking vehicles) which are usually controlled by a pilot.\n\nMechs often appear in anime, science fiction, and other genres involving fantastic or futuristic elements. Mechs are generally, though not necessarily, bipedal and are best described ad a mix between a tank and a robot. Some mechs have arms, hands, and fingers capable of grasping objects. A mech that approximates the shape of a human body may allow the use of martial arts movements and swordsmanship, ceremonial acts of honor, saluting, and other human mannerisms."
541,Tank Top,Sleeveless Undershirt\nSleeveless Shirt\nSinglet\nSleeveless T-shirt\nCamisole\nHalter Top\nWife Beater,"This character wears a [url=http://en.wikipedia.org/wiki/Sleeveless_shirt#Sleeveless_T-shirt]sleeveless shirt[/url].\n\nA vest, undershirt, tank top, or a wife beater is an article of underwear worn underneath a dress shirt intended to protect them from body sweat and odors. It also makes dress shirts less transparent. The term most commonly refers to upper-body wear worn by males. It can also be worn during winter months as an extra layer of warmth."
542,Coder,Computer Programmer,"This character engages in [url=http://en.wikipedia.org/wiki/Computer_programming]computer programming[/url].\n\nComputer programming is the process of designing, writing, testing, debugging / troubleshooting, and maintaining the source code of computer programs.\n\nThis source code is written in a programming language. The purpose of programming is to create a program that exhibits a certain desired behavior. The process of writing source code often requires expertise in many different subjects, including knowledge of the application domain, specialized algorithms and formal logic."
543,Rape Attempt,Attempted Rape,"This character attempts to [url=http://en.wikipedia.org/wiki/Rape]rapes[/url] someone, but stops or gets stopped before penetration.\n\nIn criminal law, rape is a type of sexual assault usually involving sexual intercourse, which is initiated by one or more persons against another person without that person's consent.\n\nThis trait should also be used on characters that the games give the option to not to proceed with the rape."
544,Paintball,,"This character plays [url=http://en.wikipedia.org/wiki/Paintball]paintball[/url].\n\nPaintball is a sport in which players compete, in teams or individually, to eliminate opponents by hitting them with capsules containing food coloring and gelatin (referred to as paintballs) propelled from a device called a paintball marker.\n\nPaintballs have a non-toxic, biodegradable, water soluble mineral-oil. The game is regularly played at a sporting level with organized competition involving worldwide leagues, tournaments, professional teams, and players.\n\nPaintball technology is also used by armies to supplement military training, riot response, and non-lethal suppression of dangerous suspects."
545,Volleyball,,"This character plays [url=http://en.wikipedia.org/wiki/Volleyball]volleyball[/url].\n\nVolleyball is an Olympic team sport in which two teams of six players are separated by a net. Each team tries to score points by grounding a ball on the other team's court under organized rules.\n\nThe complete rules are extensive. But simply, play proceeds as follows: A player on one of the teams begins a 'rally' by serving the ball (tossing or releasing it and then hitting it with a hand or arm), from behind the back boundary line of the court, over the net, and into the receiving team's court. The receiving team must not let the ball be grounded within their court. They may touch the ball as many as three times. Typically, the first two touches are to set up for an attack, an attempt to direct the ball back over the net in such a way that the serving team is unable to prevent it from being grounded in their court."
546,Parrot,Psittacines,"This character is a [url=http://en.wikipedia.org/wiki/Parrot]parrot[/url] or has parrot-like physical features.\n\nParrots are birds that are found in most tropical and subtropical regions.\n\nCharacteristic features of parrots include a strong, curved bill, an upright stance, strong legs, and clawed zygodactyl feet. Many parrots are vividly coloured, and some are multi-coloured. The plumage of cockatoos ranges from mostly white to mostly black, with a mobile crest of feathers on the tops of their heads.\n\nParrots, along with ravens, crows, jays and magpies, are among the most intelligent birds, and the ability of some species to imitate human voices enhances their popularity as pets."
547,Jumpsuit,,"This character wears a [url=http://en.wikipedia.org/wiki/Jumpsuit]jumpsuit[/url].\n\nJumpsuit originally referred to the utilitarian one-piece garments used by parachuters/skydivers, but has come to be used as a common term for any one-piece garment with sleeves and legs.\n\nThe original skydivers' jumpsuits were simple garments designed to insulate the body from the cold of high altitudes and minimize risk of covering important handles and grips. Today, however, the garment has found other use.\n\nNow its being used by pilots, drivers, sportspersons and tradesmen, such as cleaners, auto mechanics and plumbers as a means of protective clothing. It also finds use as a institutional uniform and clothing for children."
548,Pressure Suit,,"This character wears a [url=http://en.wikipedia.org/wiki/Pressure_suit]pressure suit[/url].\n\nA pressure suit is a protective suit worn by high-altitude pilots who may fly at altitudes where the air pressure is too low for an unprotected person to survive, even breathing pure oxygen at positive pressure. Such suits may be either full-pressure (i.e. a space suit) or partial-pressure (as used by air crew). Partial-pressure suits work by providing mechanical counter-pressure to assist breathing at altitude.\n\nDiving suits that protect the wearer from excessively high pressure are called atmospheric diving suits. Pressure suits in general are examples of environmental suits."
549,Dog Tags,,"This character wears [url=http://en.wikipedia.org/wiki/Dog_tag]dog tags[/url].\n\nA dog tag is the informal name for the identification tags worn by military personnel, because of their resemblance to actual dog tags. The tag is primarily used for the identification of dead and wounded along with providing religion (to provide for calling a Catholic priest or Jewish rabbi for last rites) and essential basic medical information for the treatment of the latter, such as blood type and history of inoculations.\n\nDog tags are usually fabricated from a corrosion-resistant metal or alloy such as aluminum, monel or stainless-steel, although, during wartime, they have been made from whatever metals were available. In the event the member has a medical condition that requires special attention, an additional, red tag with the pertinent information is issued and worn with the dog tags.\n\nWearing of the tag is required at all times by soldiers in the field."
550,Wedding Dress,,"This character wears a [url=http://en.wikipedia.org/wiki/Wedding_dress]wedding dress[/url].\n\nA wedding dress or wedding gown is the clothing worn by a bride during a wedding ceremony. Color, style and ceremonial importance of the gown can depend on the religion and culture of the wedding participants."
551,Swimsuit,Bathing Suit\nSwimming Costume,"This character wears a [url=http://en.wikipedia.org/wiki/Swimsuit]swimsuit[/url].\n\nA swimsuit is an item of clothing designed to be worn while engaging in a water-based activity or water sports, such as swimming, water polo, diving, surfing, water skiing, or during activities in the sun, such as sun bathing.\n\nA swimsuit can also be worn as an undergarment in sports that require a wetsuit such as water skiing, scuba diving, surfing, and wakeboarding. Swimsuits are also worn when there is a need to display the body, as in the case of beauty pageants, or bodybuilding contests. Glamour photography and magazines like Sports Illustrated's annual ""swimsuit issue"" feature models and sports personalities in swimsuits."
552,Bikini,,"This character wears a [url=http://en.wikipedia.org/wiki/Bikini]bikini[/url].\n\nThe bikini is typically a women's swimsuit, either a one-piece or a two-piece. For the two-piece, one part of the attire is covering the breasts; the other the groin and, optionally, part or all of the buttocks, leaving an uncovered area between the two.\n\nThe bikini is often worn in hot weather, while swimming or sunning. A bikini is often worn as an undergarment to the wetsuit for waterskiing, scuba diving, surfing, and wakeboarding.\n\nThe shapes of both parts of a bikini resemble women's underwear, and the lower part can range from revealing thong or g-string to briefs and modest square-cut shorts."
553,Swim Shorts,Boardshorts\nSwim Trunks\nSwimming Trunks,"This character wears [url=http://en.wikipedia.org/wiki/Boardshorts]boardshorts[/url].\n\nBoardshorts are a style of men's and, recently, women's swimwear. They were originally developed for aquatic sports, specifically for surfing, but in more recent years they have grown in popularity outside of these sports, and have become a popular form of general beach and swimwear."
554,One Piece Swimsuit,Tank Suit,"This character wears a [url=http://en.wikipedia.org/wiki/One-piece_swimsuit]one-piece swimsuit[/url].\n\nA one-piece swimsuit is a usually skin-tight one-piece swimsuit worn by women and girls when swimming in the sea or in a swimming pool, or for any activity in the sun, such as sun bathing. The one-piece swimsuit usually covers a female's torso.\n\nSome women wear a one-piece swimsuit because they consider it to be more modest than a two-piece bikini. Before the popularity of the bikini, virtually all female swimsuits were one piece, and in older days men wore similar swimsuits that covered their whole torso."
555,Skiing,,"This character [url=http://en.wikipedia.org/wiki/Skiing]skis on snow[/url].\n\nSkiing is a recreational activity using skis as equipment for traveling over snow. Skis are used in conjunction with boots that connect to the ski with use of a binding.\n\nSkiing can be grouped into two general categories. The older of the two disciplines originated in Scandinavia and uses free-heel bindings that attach at the toes of the skier's boots but not at the heels. Types of Nordic skiing include cross-country, ski jumping and Telemark. Alpine skiing (more often called ""downhill skiing""), originated in the European Alps, and is characterized by fixed-heel bindings that attach at both the toe and the heel of the skier's boot."
556,Possessive,,"This character acts [url=http://dictionary.reference.com/browse/possessive]possessive[/url].\n\nA possessive character is jealously opposed to the personal independence of, or to any influence other than one's own upon, a child, spouse, etc."
557,Cosplay,Costumed Role Play,"This character engages in [url=http://en.wikipedia.org/wiki/Cosplay]cosplay[/url].\n\nCosplay is a type of performance art in which participants don costumes and accessories to represent a specific character or idea. Characters are often drawn from popular fiction in Japan, but recent trends have included American cartoons and Sci-Fi. Favorite sources include manga, anime, tokusatsu, comic books, graphic novels, video games, hentai and fantasy movies. Any entity from the real or virtual world that lends itself to dramatic interpretation may be taken up as a subject. Inanimate objects are given anthropomorphic forms and it is not unusual to see genders switched, with women playing male roles and vice versa.\n\nCosplayers often interact to create a subculture centered around role play. A broader use of the term cosplay applies it to any costumed role play in venues apart from the stage, regardless of the cultural context."
558,Commander,Colonel\nGeneral\nAdmiral,This character is a [url=http://dictionary.reference.com/browse/commander]commander[/url].\n\nA commander is the commissioned officer in command of a military unit or installation.
559,American,,"This character is an [url=http://dictionary.reference.com/browse/American]American[/url].\n\nAn American is an inhabitant of the United States of America, an American citizen."
560,Tail,,"This character has a [url=http://en.wikipedia.org/wiki/Tail]tail[/url] on her clothing.\n\nThe tail is the section at the rear end of an animal's body; in general, the term refers to a distinct, flexible appendage to the torso. It is the part of the body that corresponds roughly to the sacrum and coccyx in mammals and birds.\n\nWhile tails are primarily a feature of vertebrates, some invertebrates including scorpions and springtails, as well as snails and slugs, have tail-like appendages that are sometimes referred to as tails.\n\nThis trait is intended for characters that have tails on their clothing as an accessory and should not be mixed with the body trait tail which refers to a real tail that is a part of a characters body."
561,Tail,,"This character has an actual [url=http://en.wikipedia.org/wiki/Tail]tail[/url].\n\nThe tail is the section at the rear end of an animal's body; in general, the term refers to a distinct, flexible appendage to the torso. It is the part of the body that corresponds roughly to the sacrum and coccyx in mammals and birds.\n\nWhile tails are primarily a feature of vertebrates, some invertebrates including scorpions and springtails, as well as snails and slugs, have tail-like appendages that are sometimes referred to as tails.\n\nThis trait is intended for characters that really have tails and should not be mixed with the clothing trait tail which refers to a clothing accessory."
562,Bell,Japanese Shinto Bell\nSuzu,"This character has one or more [url=http://dictionary.reference.com/browse/bell]bells[/url] on his/her clothing.\n\nA bell is a hollow instrument of cast metal, typically cup-shaped with a flaring mouth, suspended from the vertex and rung by the strokes of a clapper, hammer, or the like.\n\nThe bell that appears as an accessory on animal collars and later as a clothing accessory on humans is usually ball shaped with a slit."
563,Secretary,Administrative Assistant,"This character is a [url=http://en.wikipedia.org/wiki/Secretary]secretary[/url].\n\nA secretary, or administrative assistant, is a person whose work consists of supporting management, including executives, using a variety of project management, communication & organizational skills. These functions may be entirely carried out to assist one other employee or may be for the benefit of more than one.\n\nIn other situations a secretary is an officer of a society or organization who deals with correspondence, admits new members and organizes official meetings and events."
564,Intake,,"This character's hair has one or more [url=http://translate.google.com/translate?sl=ja&tl=en&js=n&prev=_t&hl=en&ie=UTF-8&layout=2&eotf=1&u=http%3A%2F%2Fja.wikipedia.org%2Fwiki%2F%25E3%2582%25A4%25E3%2583%25B3%25E3%2583%2586%25E3%2583%25BC%25E3%2582%25AF_%2528%25E9%25AB%25AA%25E5%259E%258B%2529&act=url]intakes[/url].\n\nAn intake is created by an arch in the character's hair that folds over itself, creating an upside-down V shape. The intake itself should be on the second layer of hair, which has an opening with visible shadow(s) created by the arch folding over itself.\n\nIf the intake is right at the hairline, please use the [url=/i25]Curtained[/url] hairstyle trait instead.\n\n[URL=/c4054]Example 1[/URL]\n[URL=/c74]Example 2[/URL]"
565,Russian,,"This character is a [url=http://en.wikipedia.org/wiki/Russian]Russian[/url].\n\nRussians are an ethnic group of the East Slavic people, primarily living in Russia and neighboring countries."
566,Finnish,,"This character is [url=http://en.wikipedia.org/wiki/Finnish_people]Finnish[/url].\n\nThe terms Finns and Finnish people refer to the ethnic group historically associated with Finland or Fennoscandia, and they are only used in that sense here."
567,Mechanic,,This character is a [url=http://en.wikipedia.org/wiki/Mechanic]mechanic[/url].\n\nA mechanic is a craftsman or technician who uses tools to repair machinery.
568,Anal Sex,Anal Intercourse\nButtsex\nAss Fucking\nFudge Packing,"This character takes part in [url=http://en.wikipedia.org/wiki/Anal_sex]anal sex[/url] during a sexual scene. Use this trait on the penetrating partner and i1721 on the receiving partner.\n\nAnal sex commonly refers to the sex act involving insertion of the penis into the anus of a sexual partner.\n\nThe term can also include other sexual acts involving the anus, including pegging, anal–oral sex, fingering, and object insertion."
569,Gurkha,Gorkha\nGhurka\nNepali,This character is a [url=http://en.wikipedia.org/wiki/Gurkha]gurkha[/url].\n\nGurkha are people from Nepal.
570,Communications Officer,Comm Officer,"This character is a communications officer.\n\nIn military, a communications officer is responsible for all kinds of communications between the command and the soldiers in the field.\n\nIn civil life, a communications officer coordinates the promotion of products, services and public image of an organization which may include the publication of news and press releases, brochures and/or related materials."
571,Principal,Head teacher\nHeadmaster\nHeedie\nHeadmistress,"This character is a [url=http://en.wikipedia.org/wiki/Principal#Education]principal[/url].\n\nA headmaster is the most senior teacher, leader and manager of a school. And in academic level, a principal is the chief executive and the chief academic officer of a university or college in certain parts of the Commonwealth."
572,Emperor,Empereor\nImperator,"This character is an [url=http://en.wikipedia.org/wiki/Emperor]emperor[/url].\n\nAn emperor is a male monarch, usually the sovereign ruler of an empire or another type of imperial realm.\n\nEmperors are generally recognized to be of a higher honor and rank than kings."
573,Empress Regnant,,"This character is an [url=http://en.wikipedia.org/wiki/Emperor]empress regnant[/url].\n\nA empress regnant is a female monarch who reigns in her own right, in contrast to a ""empress consort"", who is the wife of a reigning emperor. Empress regnant possess and exercise sovereign powers.\n\nEmpresses are generally recognized to be of a higher honor and rank than queens."
574,Headscarf,Head scarves\nHeadscarves,"This character wears a [url=http://en.wikipedia.org/wiki/Headscarf]headscarf[/url].\n\nHeadscarves are scarves covering most or all of the top of a woman's hair and her head.\n\nHeadscarves may be worn for a variety of purposes, such as for warmth, for sanitation, for fashion or social distinction; with religious significance, to hide baldness, out of modesty, or other forms of social convention."
575,Stubborn,Contrary\nIntractable\nRefractory\nUnyielding\nHeadstrong\nObdurate\nPersistent,"This character is [url=http://dictionary.reference.com/browse/stubborn]stubborn[/url].\n\nStubborn characters are unreasonably, often perversely unyielding and bullheaded. They are firmly resolved or determined and resolute. Characterized by their perseverance, they are difficult to treat or deal with and resistant to treatment or efforts."
576,Peaked Cap,Forage Cap\nCombination Cap\nService Caps\nWheel Caps\nSaucer Caps\nCombination Covers,"This character wears a [url=http://en.wikipedia.org/wiki/Peaked_cap]peaked cap[/url].\n\nA peaked cap is a form of headgear worn by the armed forces of many nations and also by many uniformed civilian organizations such as law enforcement agencies.\n\nThe cap has a crown, a band, and a peak (British English) or visor (American English). The crown is one color, often white for navies, light blue for air forces, and green for armies, and may be piped around the edge in a different color. The band can be one color, often black, or can be striped, vertically or horizontally. Most caps have some form of cap device (or cap badge). In the British Army, each regiment and corps has a different badge. In the American armed forces, the cap device is uniform throughout the branch of service, though different variants are used by different rank classes. The peak or visor is short, historically made of leather, or in newer caps may be a shiny plastic. Sometimes it is covered in fabric and may be adorned with embroidered ornamentation."
577,Captain,,"This character is a [url=http://en.wikipedia.org/wiki/Captain]captain[/url].\n\nA captain is the commanding person in charge of a ship, aircraft or similar vessel."
578,Vietnamese,,"This character is [url=http://en.wikipedia.org/wiki/Vietnamese]Vietnamese[/url].\n\nVietnamese refers to a member of the Vietnamese people, persons from Vietnam or of Vietnamese descent."
579,Kendo,,"This character practices [url=http://en.wikipedia.org/wiki/Kendo]kendo[/url].\n\nKendo meaning ""Way of The Sword"", is a modern Japanese martial art of sword-fighting based on traditional samurai swordsmanship, or kenjutsu. Kendo is a physically and mentally challenging activity that combines strong martial arts values with sport-like physical elements."
581,Violinist,Fiddle player,"This character plays [url=http://en.wikipedia.org/wiki/Violin]violin[/url].\n\nThe violin is a string instrument, usually with four strings tuned in perfect fifths. It is the smallest, highest-pitched member of the violin family of string instruments, which includes the viola and cello."
582,String Instruments,Chordophones\nStringed Instruments,"These are the traits for the [url=http://en.wikipedia.org/wiki/String_instruments]string instruments[/url].\n\nA string instrument is a musical instrument that produces sound by means of vibrating strings.\n\nThe most common string instruments in the string family are guitar, violin, viola, cello, double bass, banjo, mandolin, ukulele, and harp."
583,Brass Knuckles,Knuckles\nKnucks\nBrass Knucks\nKnuckledusters,"This character has [url=http://en.wikipedia.org/wiki/Brass_Knuckles]brass knuckles[/url].\n\nBrass knuckles are weapons used in hand-to-hand combat. Brass knuckles are pieces of metal, usually steel despite their name, shaped to fit around the knuckles. Designed to preserve and concentrate a punch's force by directing it toward a harder and smaller contact area, they result in increased tissue disruption, including an increased likelihood of fracturing the victim's bones on impact. The extended and rounded palm grip also spreads across the attacker's palm the counter-force that would otherwise be absorbed primarily by the attacker's fingers, reducing the likelihood of damage to the attacker's fingers."
584,Asthma,,"This character has [url=http://en.wikipedia.org/wiki/Asthma]asthma[/url].\n\nAsthma is a common chronic inflammatory disease of the airways characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm. Symptoms include wheezing, coughing, chest tightness, and shortness of breath.\n\nIt is thought to be caused by a combination of genetic and environmental factors. Treatment of acute symptoms is usually with an inhaled short-acting beta-2 agonist (such as salbutamol). Symptoms can be prevented by avoiding triggers, such as allergens and irritants, and by inhaling corticosteroids. Leukotriene antagonists are less effective than corticosteroids and thus less preferred."
585,Handbag,,"This character is seen with a [url=http://en.wikipedia.org/wiki/Handbag]handbag[/url].\n\nA handbag, or purse in American English, is a handled medium-to-large bag that is often fashionably designed, typically used by women, and used to hold personal items such as wallet/coins, keys, cosmetics, a hairbrush, mobile phone etc."
586,Crown,Tiara,"This character wears a [url=http://en.wikipedia.org/wiki/Crown_%28headgear%29]crown[/url].\n\nA crown is the traditional symbolic form of headgear worn by a monarch or by a deity, for whom the crown traditionally represents power, legitimacy, immortality, righteousness, victory, triumph, resurrection, honour and glory of life after death. In art the crown may be shown being offered to those on Earth by angels. Apart from the traditional form, crowns also may be made of, for example, flowers, stars, oak leaves or thorns and be worn by others, representing what the coronation part aims to symbolize with the specific crown. They often contain jewels."
588,Made-up Words,,This character has a habit of using made-up words or coming up with unique sounds.\n\nWikipedia refers to the [url=http://en.wikipedia.org/wiki/Pseudodictionary]pseudodictionary[/url] for these kinds of made-up words.
589,Stuffed Toy,plush toy\nsoft toy\ncuddly toy\nstuffed animal,"This character is seen with a [url=http://en.wikipedia.org/wiki/Stuffed_toy]stuffed toy[/url].\n\nA stuffed toy is a toy sewn from cloth, plush, or other textiles, and stuffed with straw, beans, plastic pellets, cotton, synthetic fibres, or other similar materials. Stuffed toys are also known as plush toys (U.S. English) from plush, the outer material used, and soft toys or cuddly toys (British English).\n\nStuffed toys are made in many different forms, often resembling animals, legendary creatures, cartoon characters or inanimate objects. They are often used as comfort objects, for display or collecting and given as gifts, such as for graduation, Valentine's Day or birthdays."
590,Book,,"This character is seen with a [url=http://en.wikipedia.org/wiki/Stuffed_toy]book[/url].\n\nA book is a set or collection of written, printed, illustrated, or blank sheets, made of paper, parchment, or other various material, usually fastened together to hinge at one side. \n\nBooks may also refer to works of literature, or a main division of such a work. In library and information science, a book is called a monograph, to distinguish it from serial periodicals such as magazines, journals or newspapers."
592,Masturbation,,"This character engages in [url=http://en.wikipedia.org/wiki/Masturbation]masturbation[/url].\n\nMasturbation refers to sexual stimulation of a person's genitals, usually to the point of orgasm.\n\nThe stimulation can be performed manually, by other types of bodily contact (short of sexual intercourse), by use of objects or tools, or by some combination of these methods. Self masturbation is a common form of autoeroticism. Masturbation with a partner, called mutual masturbation, is also common."
593,Nameable,Changeable Name\nCustomizable Name\nRename Support,"Name of this character can be edited by the player.\n\nThis character may or may not have a default name, but the game allows the player to replace it with something else."
594,Twin Blowjob,Twin Fellatio\nDual Fellatio\nDouble Blowjob,This character is one of the performers of a twin blowjob. Apply [url=/i1638]i1638[/url] to the receiving character.\n\nA twin blowjob is a blowjob performed by two people at the same time on a single person.
595,Nurse Uniform,,This character wears a [url=http://en.wikipedia.org/wiki/Nurse_uniform]nurse uniform[/url].\n\nA nurse uniform is attire worn by nurses for hygiene and identification.
